,Topic_name,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords
0,0,"70er/ABBA\Andante,-Andante.txt",0.0,0.3491,"love, know, time, heart, want, way, feel, let, tell, life"
1,1,70er/ABBA\Angeleyes.txt,0.0,0.4406,"love, know, time, heart, want, way, feel, let, tell, life"
2,2,"70er/ABBA\Another-Town,-Another-Train.txt",4.0,0.5745,"away, day, go, come, time, run, look, night, like, home"
3,3,70er/ABBA\As-Good-As-New.txt,0.0,0.4894,"love, know, time, heart, want, way, feel, let, tell, life"
4,4,70er/ABBA\Baby.txt,0.0,0.6539,"love, know, time, heart, want, way, feel, let, tell, life"
5,5,70er/ABBA\Bang-A-Boomerang.txt,0.0,0.4829,"love, know, time, heart, want, way, feel, let, tell, life"
6,6,70er/ABBA\Bumblebee.txt,7.0,0.4477,"lie, eye, light, cold, night, burn, die, high, soul, fire"
7,7,70er/ABBA\Cassandra.txt,7.0,0.3285,"lie, eye, light, cold, night, burn, die, high, soul, fire"
8,8,70er/ABBA\Chiquitita.txt,0.0,0.4844,"love, know, time, heart, want, way, feel, let, tell, life"
9,9,70er/ABBA\Crazy-World.txt,0.0,0.4332,"love, know, time, heart, want, way, feel, let, tell, life"
10,10,70er/ABBA\Dance-(While-The-Music-Still-Goes-On).txt,0.0,0.4188,"love, know, time, heart, want, way, feel, let, tell, life"
11,11,70er/ABBA\Dancing-Queen.txt,6.0,0.3971,"baby, come, want, get, let, wanna, girl, to, love, know"
12,12,70er/ABBA\Disillusion.txt,0.0,0.5366,"love, know, time, heart, want, way, feel, let, tell, life"
13,13,70er/ABBA\Does-Your-Mother-Know.txt,3.0,0.2388,"little, man, boy, like, play, old, life, mother, song, sing"
14,14,70er/ABBA\Don't-Shut-Me-Down.txt,4.0,0.4183,"away, day, go, come, time, run, look, night, like, home"
15,15,70er/ABBA\Dream-World.txt,0.0,0.443,"love, know, time, heart, want, way, feel, let, tell, life"
16,16,70er/ABBA\Dum-Dum-Diddle.txt,0.0,0.4152,"love, know, time, heart, want, way, feel, let, tell, life"
17,17,70er/ABBA\Eagle.txt,7.0,0.6646,"lie, eye, light, cold, night, burn, die, high, soul, fire"
18,18,70er/ABBA\Elaine.txt,2.0,0.3989,"to, going, get, got, like, come, right, ready, well, know"
19,19,70er/ABBA\Fernando.txt,1.0,0.3571,"la, hear, sing, lord, come, time, people, song, god, world"
20,20,70er/ABBA\From-A-Twinkling-Star-To-A-Passing-Angel.txt,4.0,0.6532,"away, day, go, come, time, run, look, night, like, home"
21,21,70er/ABBA\Gimme!-Gimme!-Gimme!-(A-Man-After-Midnight).txt,4.0,0.551,"away, day, go, come, time, run, look, night, like, home"
22,22,70er/ABBA\Gonna-Sing-You-My-Lovesong.txt,2.0,0.4655,"to, going, get, got, like, come, right, ready, well, know"
23,23,70er/ABBA\Happy-Hawaii.txt,0.0,0.4173,"love, know, time, heart, want, way, feel, let, tell, life"
